brand	file	size_kb	pages	type_detected	price_suggested	price_final	title	slug	description	notes
KITY	Kity 633, 635, 636, 642.pdf	4233	21	Unknown	10	10	KITY - Kity 633, 635, 636, 642	kity-kity-633-635-636-642		
KITY	Kity 635_636.pdf	10482	11	Unknown	10	10	KITY - Kity 635_636	kity-kity-635-636		
KITY	Kity 636 Dégau-rabo notice.pdf	41512	20	Notice	10	10	KITY - Kity 636 Dégau-rabo notice	kity-kity-636-degau-rabo-notice		
KITY	Kity 636 Dégau_rabo éclatés.pdf	332	5	Parts List	12	12	KITY - Kity 636 Dégau_rabo éclatés	kity-kity-636-degau-rabo-eclates		
KITY	Kity 637 degau-raboteuse.pdf	39526	17	Unknown	10	10	KITY - Kity 637 degau-raboteuse	kity-kity-637-degau-raboteuse		
KITY	kity 652.pdf	1395	4	Unknown	10	10	KITY - kity 652	kity-kity-652		
KITY	Kity 661 DE.pdf	3687	4	Unknown	10	10	KITY - Kity 661 DE	kity-kity-661-de		
KITY	Kity 661 FR.pdf	4323	4	Unknown	10	10	KITY - Kity 661 FR	kity-kity-661-fr		
KITY	Kity 661 GB.pdf	3694	4	Unknown	10	10	KITY - Kity 661 GB	kity-kity-661-gb		
KITY	Kity 692 696 897 Aspirateurs.pdf	6010	23	Unknown	10	10	KITY - Kity 692 696 897 Aspirateurs	kity-kity-692-696-897-aspirateurs		
KITY	Kity astuces.pdf	2915	12	Unknown	10	10	KITY - Kity astuces	kity-kity-astuces		
KITY	Kity Bestcombi 2000.pdf	6696	144	Unknown	10	10	KITY - Kity Bestcombi 2000	kity-kity-bestcombi-2000		
KITY	Kity bestcombi 260.pdf	14784	48	Unknown	10	10	KITY - Kity bestcombi 260	kity-kity-bestcombi-260		
KITY	Kity Bestcombi2000 bis part1.pdf	31015	23	Unknown	10	10	KITY - Kity Bestcombi2000 bis part1	kity-kity-bestcombi2000-bis-part1		
KITY	Kity Bestcombi2000 bis part2.pdf	26613	23	Unknown	10	10	KITY - Kity Bestcombi2000 bis part2	kity-kity-bestcombi2000-bis-part2		
KITY	KITY Branchement Moteur 380 - 220 volts.pdf	122	1	Schema	5	5	KITY - KITY Branchement Moteur 380 - 220 volts	kity-kity-branchement-moteur-380-220-volts		
KITY	Kity finitions des bois.pdf	404	19	Unknown	10	10	KITY - Kity finitions des bois	kity-kity-finitions-des-bois		
KITY	Kity guide assemblage.pdf	3244	21	Unknown	10	10	KITY - Kity guide assemblage	kity-kity-guide-assemblage		
KITY	Kity junior 6.pdf	16186	31	Unknown	10	10	KITY - Kity junior 6	kity-kity-junior-6		
KITY	Kity K5 bis.pdf	12402	25	Unknown	10	10	KITY - Kity K5 bis	kity-kity-k5-bis		
KITY	Kity K5.pdf	13973	58	Unknown	10	10	KITY - Kity K5	kity-kity-k5		
KITY	Kity mb25 mortaiseuse.pdf	1921	7	Unknown	10	10	KITY - Kity mb25 mortaiseuse	kity-kity-mb25-mortaiseuse		
KITY	Kity montage sur table.pdf	518	1	Unknown	10	10	KITY - Kity montage sur table	kity-kity-montage-sur-table		
KITY	Kity réglage des fers de dégau.pdf	540	6	Unknown	10	10	KITY - Kity réglage des fers de dégau	kity-kity-reglage-des-fers-de-degau		
KORMAN	Korman TX 212110 rabo degau 1250 W.pdf	9996	36	Unknown	10	10	KORMAN - Korman TX 212110 rabo degau 1250 W	korman-korman-tx-212110-rabo-degau-1250-w		
LEMAN	Leman TOU 030 TOU 030T Toupie.pdf	4220	32	Unknown	10	10	LEMAN - Leman TOU 030 TOU 030T Toupie	leman-leman-tou-030-tou-030t-toupie		
METABO	Metabo TF 100 M fraiseuse de table.pdf	1190	44	Unknown	10	10	METABO - Metabo TF 100 M fraiseuse de table	metabo-metabo-tf-100-m-fraiseuse-de-table		
MINIMAX	Minimax C26-30 Genius manuel.pdf	4135	147	Manual	25	25	MINIMAX - Minimax C26-30 Genius manuel	minimax-minimax-c26-30-genius-manuel		
MINIMAX	Minimax LAB 260 notice.pdf	3047	70	Notice	15	15	MINIMAX - Minimax LAB 260 notice	minimax-minimax-lab-260-notice		
MINIMAX	Minimax LAB 260 piÃ¨ces.pdf	1955	46	Parts List	19	19	MINIMAX - Minimax LAB 260 piÃ¨ces	minimax-minimax-lab-260-pieces		
MULTICO	Multico pm20 mortaiseuse.pdf	484	12	Unknown	10	10	MULTICO - Multico pm20 mortaiseuse	multico-multico-pm20-mortaiseuse		
MYFORD	Myford ML8 Parts list.pdf	2259	6	Parts List	12	12	MYFORD - Myford ML8 Parts list	myford-myford-ml8-parts-list		
MYFORD	Myford ML8 plaquette bis.pdf	314	3	Unknown	10	10	MYFORD - Myford ML8 plaquette bis	myford-myford-ml8-plaquette-bis		
MYFORD	Myford ML8 plaquette.pdf	340	6	Unknown	10	10	MYFORD - Myford ML8 plaquette	myford-myford-ml8-plaquette		
RIKON	RIKON rabo degau 10.pdf	10766	32	Unknown	10	10	RIKON - RIKON rabo degau 10	rikon-rikon-rabo-degau-10		
ROBLAND	ROBLAND - K21 K26 SD21 SDB2 SD26 SDB26 TZ30 30 - Manuel Combiné Ã  bois.pdf	2969	29	Manual	19	19	ROBLAND - ROBLAND - K21 K26 SD21 SDB2 SD26 SDB26 TZ30 30 - Manuel Combiné Ã  bois	robland-robland-k21-k26-sd21-sdb2-sd26-sdb26-tz30-30-manuel-combine-a-bois		
ROBLAND	Robland E-300 et E-3200 manual.pdf	1193	45	Manual	25	25	ROBLAND - Robland E-300 et E-3200 manual	robland-robland-e-300-et-e-3200-manual		
ROBLAND	Robland K21 K26 SD21 SDB21 SD26 SDB26 TZ30 T30.pdf	5321	32	Unknown	10	10	ROBLAND - Robland K21 K26 SD21 SDB21 SD26 SDB26 TZ30 T30	robland-robland-k21-k26-sd21-sdb21-sd26-sdb26-tz30-t30		
ROBLAND	ROBLAND K26 Schéma électrique.pdf	1102	1	Schema	5	5	ROBLAND - ROBLAND K26 Schéma électrique	robland-robland-k26-schema-electrique		
ROBLAND	Robland K260 combinée.pdf	18476	32	Unknown	10	10	ROBLAND - Robland K260 combinée	robland-robland-k260-combinee		
ROBLAND	Robland NX brochure.pdf	1867	46	Brochure	5	5	ROBLAND - Robland NX brochure	robland-robland-nx-brochure		
